 time            v(clk)          v(D)            v(Dn)           v(Q0)           v(Qn0)          v(Q1)           v(Qn1)          v(Q2)           v(Qn2)          v(Q3)           v(Qn3)         
 8.72800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.55480724e-04  1.79990964e+00  1.55479733e-04  1.79990964e+00  1.55481502e-04  1.79990964e+00 -1.32010303e-05  1.79993300e+00 
 8.82800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.37615061e-04  1.79991074e+00  1.37614570e-04  1.79991074e+00  1.37613816e-04  1.79991074e+00  1.37832834e-05  1.80003986e+00 
 8.92800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.53877095e-04  1.79991015e+00  1.53876090e-04  1.79991015e+00  1.53877802e-04  1.79991015e+00 -1.20803417e-05  1.79993457e+00 
 9.02800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.37842975e-04  1.79991110e+00  1.37842504e-04  1.79991110e+00  1.37841798e-04  1.79991110e+00  1.26182458e-05  1.80003860e+00 
 9.12800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.52337021e-04  1.79991065e+00  1.52336003e-04  1.79991065e+00  1.52337656e-04  1.79991065e+00 -1.10445657e-05  1.79993607e+00 
 9.22800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.38021553e-04  1.79991147e+00  1.38021100e-04  1.79991147e+00  1.38020443e-04  1.79991147e+00  1.15412127e-05  1.80003742e+00 
 9.32800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.50856811e-04  1.79991115e+00  1.50855785e-04  1.79991115e+00  1.50857378e-04  1.79991115e+00 -1.00875817e-05  1.79993748e+00 
 9.42800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.38154206e-04  1.79991182e+00  1.38153767e-04  1.79991182e+00  1.38153161e-04  1.79991182e+00  1.05458541e-05  1.80003631e+00 
 9.52800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.49433018e-04  1.79991165e+00  1.49431985e-04  1.79991164e+00  1.49433517e-04  1.79991165e+00 -9.20369580e-06  1.79993882e+00 
 9.62800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.38244113e-04  1.79991218e+00  1.38243686e-04  1.79991218e+00  1.38243130e-04  1.79991217e+00  9.62628109e-06  1.80003526e+00 
 9.72800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.48062412e-04  1.79991214e+00  1.48061376e-04  1.79991214e+00  1.48062848e-04  1.79991214e+00 -8.38761240e-06  1.79994009e+00 
 9.82800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.38294237e-04  1.79991252e+00  1.38293819e-04  1.79991252e+00  1.38293315e-04  1.79991252e+00  8.77701583e-06  1.80003428e+00 
 9.92800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.46741974e-04  1.79991263e+00  1.46740935e-04  1.79991263e+00  1.46742347e-04  1.79991263e+00 -7.63440697e-06  1.79994129e+00 
 1.00280000e-09  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.38307344e-04  1.79991287e+00  1.38306933e-04  1.79991287e+00  1.38306479e-04  1.79991287e+00  7.99296406e-06  1.80003335e+00 
 1.01280000e-09  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.45468874e-04  1.79991312e+00  1.45467836e-04  1.79991312e+00  1.45469188e-04  1.79991312e+00 -6.93950100e-06  1.79994243e+00 
 1.02280000e-09  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.38286013e-04  1.79991321e+00  1.38285608e-04  1.79991321e+00  1.38285204e-04  1.79991321e+00  7.26938901e-06  1.80003248e+00 
 1.03280000e-09  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.44240464e-04  1.79991360e+00  1.44239427e-04  1.79991360e+00  1.44240722e-04  1.79991360e+00 -6.28000752e-06  1.79994351e+00 
